OPOR,lyield,lLFP,lfleetutil,lfueleff,lpOntime,lmisbagg,ltotaldelay,lcomplaint,lhetero,lavglandfee,lsparsity,lMKTshare,ltdomt_cost,lrevpaxenplaned,lempfte,year,quarter,carriercode,occasion
0.005101861,-2.0308781,-0.26044142,-0.94875526,4.1004119,-0.26512364,1.6620303,9.5374117,4.356709,-0.78042036,5.5760999,-2.2763977,-3.3594501,19.026964,15.49245,10.05938,2010,1,1,25
0.097417101,-2.0808432,-0.18272457,-0.90109235,4.2178216,-0.17528848,1.5018526,9.2356186,4.2195077,-0.74245679,5.5544124,-2.2640798,-3.2829795,19.066296,15.666499,10.078155,2010,2,1,26
0.084876411,-2.1518729,-0.17395288,-0.92338938,4.1380639,-0.18098538,1.6253113,9.2661533,3.8501475,-0.72558731,5.5484829,-2.230583,-3.2993312,19.138641,15.671751,10.073652,2010,3,1,27
0.000422624,-2.0848596,-0.21411513,-0.9659183,4.1465893,-0.13921694,1.5706971,8.9884462,3.3322046,-0.73601896,5.5017009,-2.2837288,-3.3275514,19.171106,15.605659,10.070399,2010,4,1,28
-0.054987065,-1.9820491,-0.24365257,-0.93265843,4.1351266,-0.21032342,1.6428727,9.3268785,3.5553482,-0.77737379,5.5597587,-2.345588,-3.3136852,19.338692,15.495378,10.074706,2011,1,1,29
-0.010292269,-1.9840159,-0.17919707,-0.83896804,4.1393509,-0.19114494,1.6094379,9.3264332,3.7376697,-0.74919665,5.5055795,-2.3032885,-3.2490203,19.584616,15.67954,10.098355,2011,2,1,30
0.023555003,-2.0945022,-0.17953083,-0.96457744,4.1305318,-0.17322001,1.6233408,9.2325907,4.0943446,-0.74801886,5.4473591,-2.2316563,-3.2970617,19.526222,15.665966,10.098725,2011,3,1,31
0.015494327,-1.9832717,-0.25018522,-1.0412083,4.1279373,-0.1047615,1.4586151,8.704668,3.713572,-0.76661217,5.5349574,-2.2793379,-3.3704715,19.390152,15.550136,10.085476,2011,4,1,32
-0.009926411,-1.915728,-0.30685368,-1.2132363,4.1190248,-0.10573835,1.4255151,8.6475191,3.4657359,-0.81104255,5.4924254,-2.3434048,-3.4417007,19.391178,15.407342,10.009198,2012,1,1,33
-0.11243026,-2.0841098,-0.37243745,-0.98920065,4.0588508,-0.28097573,2.2638443,9.1755419,3.6109178,-0.27485958,5.450274,-2.258996,-3.6191316,18.230366,14.996127,10.29843,2004,1,2,1
0.010392701,-2.0911386,-0.32313344,-0.9129647,4.0991158,-0.2126092,2.316488,9.0025778,2.3978953,-0.26718113,5.5340376,-2.2355442,-3.5744801,18.453979,15.156289,10.320683,2004,2,2,2
0.068473682,-2.0948994,-0.27373376,-0.8584289,4.0983987,-0.24551359,2.4857397,9.190444,2.8332133,-0.25856581,5.5443249,-2.2203221,-3.4609382,18.602352,15.285927,10.316954,2004,3,2,3
-0.11721393,-2.1315336,-0.31875929,-0.94556844,4.072803,-0.34485075,2.2523439,9.3671732,3.2958369,-0.26851359,5.5116496,-2.2453244,-3.5714536,18.628092,15.117299,10.252665,2004,4,2,4
-0.16038065,-2.1275716,-0.3262383,-0.97923273,4.0851932,-0.31619057,2.2502387,9.2487917,2.9957323,-0.26302123,5.6259198,-2.2373812,-3.5906866,18.555704,15.069773,10.224628,2005,1,2,5
-0.005031047,-2.0564172,-0.25028551,-0.9600994,4.1104689,-0.48464727,2.7694588,9.623311,3.5263605,-0.25079036,5.6276593,-2.2285688,-3.5713673,18.745123,15.187147,10.203629,2005,2,2,6
0.11735398,-2.0113208,-0.23308304,-0.93975574,4.1167264,-0.35393637,2.9937303,9.4308405,3.9702919,-0.25144431,5.6219339,-2.1970809,-3.5121629,18.912844,15.294139,10.203407,2005,3,2,7
-0.062615708,-2.0656974,-0.31223464,-0.95617509,4.1022496,-0.29543668,2.5641799,9.197154,2.8332133,-0.25273606,5.6849046,-2.186094,-3.5708268,18.853157,15.12354,10.202665,2005,4,2,8
-0.27639961,-2.0242641,-0.31914729,-0.93979663,4.0991483,-0.33325076,2.5718486,9.2744417,3.4011974,-0.2502147,5.5080466,-2.2067714,-3.5524576,18.809258,15.06764,10.210163,2006,1,2,9
0.052534588,-1.9761602,-0.23827717,-0.93112457,4.1257048,-0.2620711,2.5764217,9.1354017,2.8903718,-0.23952748,5.6170397,-2.1928518,-3.4962232,19.011898,15.225085,10.239424,2006,2,2,10
-0.024045523,-1.9857949,-0.23174238,-0.91229564,4.1340017,-0.32791805,3.1027913,9.3886538,3.1780539,-0.2234448,5.6170554,-2.1727297,-3.4135792,19.118797,15.30701,10.253088,2006,3,2,11
-0.050831042,-2.0247033,-0.30727926,-0.98190051,4.1047444,-0.32275498,2.9491646,9.2783728,2.7080503,-0.22806384,5.6397772,-2.2150404,-3.5467265,18.889301,15.128954,10.248636,2006,4,2,12
-0.054745186,-2.0006185,-0.3490462,-0.95799094,4.1184506,-0.32901132,2.7625384,9.2624588,3.3322046,-0.23336843,5.6742744,-2.2384801,-3.5962961,18.799582,15.048228,10.245942,2007,1,2,13
0.086512581,-1.9829613,-0.2434011,-0.93830866,4.158638,-0.2827858,2.9343886,9.2259188,3.4011974,-0.23528698,5.672255,-2.2176495,-3.4845438,18.995914,15.265079,10.261057,2007,2,2,14
0.12267669,-1.949297,-0.22361833,-0.92627931,4.169764,-0.36582646,3.1367977,9.4839487,3.9120231,-0.23110622,5.6624255,-2.2034178,-3.4205716,19.132133,15.339241,10.288137,2007,3,2,15
-0.081927299,-1.9919167,-0.29750291,-0.97860479,4.1546755,-0.31536803,2.8564701,9.250042,3.2188759,-0.25025925,5.6719232,-2.2226639,-3.5413854,19.189342,15.147551,10.29367,2007,4,2,16
-0.097284302,-1.986462,-0.30706111,-0.96725762,4.1738625,-0.27608189,2.8443279,9.1066456,2.9957323,-0.26420498,5.7620158,-2.2419806,-3.5340564,19.248711,15.104662,10.302935,2008,1,2,17
-0.082991205,-1.9700561,-0.25569221,-0.94394147,4.223177,-0.22446345,2.5703194,8.9682684,3.2188759,-0.28395912,5.7244897,-2.1628718,-3.4815309,19.517479,15.217854,10.318144,2008,2,2,18
0.063127287,-1.9262695,-0.23340969,-0.94727945,4.2547169,-0.19980243,2.5120354,8.888895,2.8332133,-0.30838484,5.7119689,-2.1454086,-3.4015582,19.561504,15.267761,10.30538,2008,3,2,19
0.033111725,-1.9809022,-0.26903513,-1.0283148,4.2410092,-0.28848079,2.4212565,9.0693531,1.6094379,-0.34773055,5.7359195,-2.1573005,-3.4594028,18.933809,15.052889,10.276567,2008,4,2,20
0.007580804,-2.0431027,-0.28914163,-1.0408485,4.2425857,-0.32072076,2.6282852,9.1093035,3.2188759,-0.35659459,5.8199358,-2.1714988,-3.4710028,18.460754,14.978469,10.255482,2009,1,2,21
0.049734175,-2.051296,-0.23631257,-1.0305487,4.2789588,-0.16406325,2.3813963,8.5741405,2.9957323,-0.40195328,5.7558999,-2.1716197,-3.4403689,18.589233,15.124453,10.25629,2009,2,2,22
0.17336027,-2.017869,-0.19631211,-1.0238538,4.3011284,-0.1329087,2.4923787,8.4261742,2.9444389,-0.41212729,5.7759318,-2.154022,-3.3430042,18.799242,15.218823,10.246687,2009,3,2,23
0.098618634,-2.0155356,-0.2220044,-1.0868839,4.264411,-0.14576426,2.2038691,8.3449802,2.7080503,-0.40146881,5.8832445,-2.1976454,-3.3805757,18.797451,15.007062,10.228032,2010,1,2,25
0.16251627,-2.0173104,-0.19149593,-0.99635285,4.289866,-0.10087443,2.207175,8.1062126,2.7080503,-0.39613062,5.7850046,-2.2252009,-3.3517883,18.958017,15.170869,10.223613,2010,2,2,26
0.20117714,-2.0304141,-0.16088441,-0.96969336,4.3062539,-0.11384506,2.2823825,8.2947998,3.1780539,-0.42612603,5.7723212,-2.2019901,-3.2618856,19.022512,15.283834,10.215923,2010,3,2,27
0.098945409,-2.079391,-0.18097423,-0.9914512,4.2765918,-0.17600434,2.2321627,8.6154079,2.4849067,-0.43272686,5.8008075,-2.2119603,-3.2810228,19.07021,15.154536,10.199435,2010,4,2,28
0.056454275,-2.0608423,-0.18613192,-0.96799213,4.2634635,-0.18200746,2.2192035,8.6333752,2.9444389,-0.45169446,5.7928739,-2.256753,-3.2155514,19.386316,15.125149,10.194065,2011,1,2,29
0.12475009,-1.9806892,-0.16646704,-0.94906294,4.2862806,-0.099192962,2.1690538,8.1519098,2.9444389,-0.45488799,5.755178,-2.2352362,-3.2526278,19.56279,15.243187,10.200142,2011,2,2,30
0.18717524,-1.9680966,-0.1398297,-0.93510151,4.2919993,-0.092875578,2.1587148,8.1359329,3.1780539,-0.43439537,5.8040857,-2.2301939,-3.202328,19.538641,15.326296,10.200068,2011,3,2,31
0.075087391,-2.0208929,-0.16028188,-0.98542744,4.2753091,-0.13717151,2.0464017,8.401782,2.9444389,-0.46823269,5.8176332,-2.2430422,-3.2151539,19.466669,15.189794,10.197165,2011,4,2,32
0.051431511,-2.0422025,-0.15588759,-0.97890562,4.2629442,-0.16785355,2.1377103,8.5737629,2.8332133,-0.48539367,6.0317955,-2.2704699,-3.1578918,19.520561,15.166377,10.203703,2012,1,2,33
0.16202548,-1.9693236,-0.1367799,-0.906111,4.2909369,-0.10404976,2.0906289,8.227643,3.0445225,-0.44999516,6.0441089,-2.2951248,-3.1472766,19.566042,15.296433,10.219101,2012,2,2,34
0.18932609,-1.9642752,-0.13514842,-0.89465356,4.3049822,-0.11463244,2.260721,8.3631096,3.4965076,-0.46141681,5.8283429,-2.2886651,-3.1420436,19.592653,15.359024,10.227707,2012,3,2,35
0.08329431,-2.0229452,-0.15301499,-0.9472605,4.2942009,-0.15321301,2.1826749,8.5367994,2.8903718,-0.48215669,5.8002157,-2.319746,-3.137094,19.561417,15.237731,10.228538,2012,4,2,36
0.078657806,-2.0365789,-0.15827788,-0.93492788,4.2945995,-0.13399281,2.1598687,8.4042482,2.4849067,-0.46441227,5.8293757,-2.3228354,-3.113122,19.575632,15.230663,10.237707,2013,1,2,37
0.15460278,-2.0069888,-0.14335939,-0.90895683,4.3062091,-0.12813962,1.83737,8.4690533,2.9957323,-0.41003796,5.8603134,-2.2259758,-3.1250942,19.55505,15.359203,10.259273,2013,2,2,38
0.29834902,-1.9713482,-0.14378345,-0.89765549,4.3071074,-0.15481856,2.2289386,8.7018452,3.2958369,-0.41004971,5.9392853,-2.2077067,-3.0951123,19.634747,15.429062,10.260182,2013,3,2,39
0.11358324,-1.9951023,-0.16833588,-0.98700458,4.3007445,-0.13108099,2.0528409,8.4368505,2.9957323,-0.40146962,5.9428673,-2.2675693,-3.1351507,19.548294,15.289457,10.257765,2013,4,2,40
0.12443835,-1.9863803,-0.16015406,-0.97079724,4.303515,-0.13617252,2.1162555,8.4487,2.7725887,-0.40203649,5.9741735,-2.2754261,-2.949018,19.543896,15.276361,10.264861,2014,1,2,41
0.1910159,-1.9648539,-0.14311095,-0.9408716,4.3337855,-0.12164026,1.9768549,8.4316349,3.0910425,-0.387422,5.9902244,-2.2206125,-2.7457671,19.611401,15.405838,10.292383,2014,2,2,42
0.21718064,-1.9699746,-0.14670651,-0.91890496,4.3474054,-0.16297944,2.1258478,8.7844687,3.4011974,-0.38469777,5.991539,-2.2014225,-2.9294939,19.657038,15.508228,10.305982,2014,3,2,43
0.18767844,-2.0195515,-0.1755421,-0.97119355,4.3432016,-0.17357317,2.1564026,8.7621765,2.6390574,-0.39807701,5.9919138,-2.2307205,-2.938802,19.413038,15.393573,10.322987,2014,4,2,44
0.19186422,-2.0437403,-0.17309542,-0.94018382,4.3367815,-0.16115613,2.2628043,8.6849089,3.2580965,-0.41244712,5.9217963,-2.2315392,-2.935463,19.102314,15.390703,10.34242,2015,1,2,45
0.25494486,-2.0183208,-0.156721,-0.89373958,4.3679566,-0.12524547,2.2267835,8.5459747,3.6109178,-0.39974058,5.9246368,-2.179528,-3.0515847,19.25062,15.51134,10.38028,2015,2,2,46
0.28744444,-2.017556,-0.14938204,-0.9182151,4.3734579,-0.15197711,2.4849067,8.7814016,3.1354942,-0.33609903,6.0233746,-2.1545527,-3.0255709,19.132051,15.59019,10.396231,2015,3,2,47
0.18996394,-2.0440855,-0.18569863,-0.93288106,4.3590484,-0.14698899,2.2060742,8.6760759,3.3672957,-0.35722724,6.0510244,-2.2020302,-3.025969,18.979673,15.479202,10.398367,2015,4,2,48
0.22630024,-2.1134553,-0.19009039,-0.94283175,4.3506894,-0.1333393,1.8809906,8.5737629,3.2958369,-0.35435545,6.0415587,-2.2102835,-2.9875469,18.727518,15.461743,10.402625,2016,1,2,49
0.28204471,-2.0948267,-0.15397231,-0.8962695,4.3778586,-0.12028468,1.4724721,8.5542965,3.1780539,-0.34916604,5.9003057,-2.1785793,-2.9920447,18.963758,15.588439,10.418196,2016,2,2,50
0.27231258,-2.0773604,-0.14660968,-0.95046312,4.3786597,-0.11550675,1.5303947,8.5328693,3.3672957,-0.35943097,6.0697427,-2.1569099,-2.9873917,19.019184,15.632687,10.430314,2016,3,2,51
0.21408346,-2.110229,-0.1564952,-0.98302352,4.3587365,-0.17704746,1.4562867,8.8397112,3.4965076,-0.39125171,6.0633101,-2.200937,-3.0041308,19.038965,15.530152,10.449381,2016,4,2,52
0.16020593,-2.1302509,-0.18943998,-0.9324615,4.3394032,-0.24380213,1.6714734,9.1489964,3.5553482,-0.40770957,6.1350083,-2.2065077,-2.9700732,19.136576,15.513247,10.473619,2017,1,2,53
0.2810117,-2.0652206,-0.13276915,-0.88060236,4.3575072,-0.19369985,1.5810385,9.0368204,3.7612002,-0.3995654,6.0739012,-2.2095699,-2.9495575,19.175648,15.666264,10.515696,2017,2,2,54
0.2510592,-2.0604484,-0.14590491,-0.88723266,4.3674746,-0.16332175,1.7101879,8.901639,3.8066626,-0.40970236,6.1324301,-2.2035973,-2.9522257,19.24542,15.689499,10.550224,2017,3,2,55
0.12811618,-2.0905211,-0.16477485,-0.8960188,4.3582244,-0.17204569,1.8017098,8.8720665,3.2188759,-0.45452246,6.148881,-2.2180562,-2.9792955,19.30401,15.596096,10.576891,2017,4,2,56
0.011284571,-1.7978451,-0.21181585,-1.1223246,4.0217276,-0.13904263,1.9242487,8.6794825,2.9957323,-0.46408057,6.5605464,-2.2564704,-3.0546157,19.693909,15.54896,10.810495,2018,1,2,57
0.12519933,-2.1095593,-0.14506517,-0.94795156,4.3631911,-0.19200633,2.0630581,9.3856373,3.871201,-0.24539478,6.263154,-2.4735529,-2.6948428,19.880686,16.008766,10.822215,2018,2,2,58
0.13673447,-2.0950394,-0.15869275,-0.89254439,4.3560181,-0.21205781,2.1174598,9.4892588,4.1588831,-0.25201571,6.2564731,-2.4396019,-2.7099319,19.880711,16.012766,10.822375,2018,3,2,59
0.054170907,-2.0938306,-0.17775069,-0.95594668,4.3611665,-0.21184169,2.1234584,9.3962393,4.0604429,-0.26089311,6.252831,-2.4772971,-2.740803,19.835949,15.897211,10.818678,2018,4,2,60
0.018219829,-2.1312931,-0.2201384,-0.98172939,4.3628602,-0.26284108,2.9528248,9.5614195,3.9702919,-0.27378917,6.2365441,-2.4559972,-2.7838519,19.681892,15.811642,10.816353,2019,1,2,61
0.15797013,-2.0794647,-0.14425857,-0.90834171,4.3698449,-0.18442558,2.5960007,8.9076128,3.6888795,-0.27667728,6.2515516,-2.3974519,-2.7308812,19.85321,15.987176,10.822495,2019,2,2,62
0.17182811,-2.0564752,-0.14911652,-0.90725434,4.3722849,-0.21287164,2.6803365,9.5191479,3.7612002,-0.27132729,6.2765884,-2.4130371,-2.7035339,19.827545,16.045444,10.834372,2019,3,2,63
0.11159456,-2.0462399,-0.1772137,-0.9484688,4.3667297,-0.21708775,2.7806809,9.4511671,5.5134287,-0.27288011,6.2740746,-2.4290466,-2.7532203,19.801521,15.935989,10.837382,2019,4,2,64
0.1979254,-2.4750679,-0.17019966,-1.2028886,4.4264216,-0.23604856,1.6467338,8.5385628,3.9120231,-0.74508214,6.371429,-3.2193966,-3.9486213,18.404884,15.060641,9.3440838,2019,1,3,61
0.21550459,-2.5654795,-0.17552598,-1.1520158,4.4074097,-0.25248635,1.6505798,8.7884407,4.1743875,-0.72236049,6.4159975,-3.3652139,-3.9628165,18.590464,15.250351,9.3701611,2019,2,3,62
0.15554924,-2.3525956,-0.14898354,-1.3360264,4.3641438,-0.23311533,1.6733512,8.604105,4.1431346,-0.72499633,6.4532766,-3.4413304,-4.0940933,18.464594,15.159979,9.3900757,2019,3,3,63
0.19278225,-2.2448287,-0.19816154,-1.3410379,4.4022431,-0.23326869,1.6193882,8.5720596,5.5872488,-0.75412613,6.3879213,-3.316376,-4.0712028,18.452335,15.100167,9.4269028,2019,4,3,64
0.014972325,-2.3038704,-0.32671195,-0.78600407,4.2178702,-0.29647207,2.401525,9.4287529,4.0073333,-0.32703319,5.5020185,-1.8779069,-3.1262331,18.497572,15.365439,10.436055,2004,1,5,1
0.033996142,-2.3520205,-0.24402939,-0.77249396,4.1566014,-0.26502743,2.3272777,9.3451338,4.0430512,-0.33486024,5.5237837,-1.8969918,-3.1428528,18.664249,15.461802,10.447989,2004,2,5,2
-0.016600877,-2.4501941,-0.20316638,-0.77979171,4.1914058,-0.25128824,2.5225234,9.2975264,4.1743875,-0.34501782,5.5449839,-1.8971603,-3.1110711,18.744465,15.506083,10.444357,2004,3,5,3
